,Year,Month,Mexican Policy Uncertainty Index
241,2016,2.0,41.25225830078125
242,2016,3.0,40.63599395751953
243,2016,4.0,29.300710678100586
244,2016,5.0,24.35833740234375
245,2016,6.0,52.31668472290039
246,2016,7.0,34.59252166748047
247,2016,8.0,27.210355758666992
248,2016,9.0,47.65531539916992
249,2016,10.0,47.58549880981445
250,2016,11.0,89.2595443725586
251,2016,12.0,108.7740478515625
252,2017,1.0,161.46823120117188
253,2017,2.0,99.24703979492188
254,2017,3.0,69.89385223388672
255,2017,4.0,48.14061737060547
256,2017,5.0,61.22902297973633
257,2017,6.0,42.05119705200195
258,2017,7.0,23.745012283325195
259,2017,8.0,52.718936920166016
260,2017,9.0,27.02212142944336
261,2017,10.0,67.03946685791016
262,2017,11.0,63.942195892333984
263,2017,12.0,59.61513900756836
264,2018,1.0,66.2947998046875
265,2018,2.0,54.96923065185547
266,2018,3.0,45.43212127685547
267,2018,4.0,56.69057846069336
268,2018,5.0,84.17990112304688
269,2018,6.0,75.6291732788086
270,2018,7.0,44.1575813293457
271,2018,8.0,73.3643569946289
272,2018,9.0,48.747276306152344
273,2018,10.0,86.68230438232422
274,2018,11.0,128.8916015625
275,2018,12.0,61.20571517944336
276,2019,1.0,83.4554443359375
277,2019,2.0,106.42291259765625
278,2019,3.0,82.30194091796875
279,2019,4.0,50.4118537902832
280,2019,5.0,70.57819366455078
281,2019,6.0,67.18412780761719
282,2019,7.0,74.2350845336914
283,2019,8.0,90.7750473022461
284,2019,9.0,57.98862075805664
285,"Source: 'Measuring Economic Policy Uncertainty' QJE, Nov. 2016 by Scott Baker, Nicholas Bloom and Steven J. Davis at www.PolicyUncertainty.com.  These data can be used freely with attribution to the authors, the paper, and the website.",,
