Date,IMOEX.ME,XU100.IS,^BSESN,^BVSP,^JKSE,^MXX
2015-08-28,1719.1600341796875,74641.6015625,26392.380859375,47154.0,4446.0693359375,43290.859375
2015-08-31,1733.1700439453125,75210.3984375,26283.08984375,46626.0,4509.47314453125,43721.9609375
2015-09-01,1697.989990234375,73569.703125,25696.439453125,45477.0,4412.328125,42911.51171875
2015-09-02,1690.8199462890625,73656.1015625,25453.560546875,46464.0,4401.16259765625,42969.9296875
2015-09-03,1710.5699462890625,74004.1015625,25764.779296875,47366.0,4432.97900390625,43283.46875
2015-09-04,1698.1600341796875,72950.1015625,25201.900390625,46498.0,4415.2119140625,42742.859375
2015-09-07,1701.1800537109375,71865.796875,24893.810546875,,4301.23779296875,42756.26171875
2015-09-08,1714.1800537109375,72051.796875,25317.869140625,46762.0,4318.46240234375,43083.94140625
2015-09-09,1722.4300537109375,72003.296875,25719.580078125,46657.0,4347.1474609375,42754.6796875
2015-09-10,1718.9000244140625,71846.5,25622.169921875,46504.0,4343.13232421875,42888.51171875
2015-09-11,1718.06005859375,71350.8984375,25610.2109375,46401.0,4360.33837890625,42780.73046875
2015-09-14,1729.75,71299.3984375,25856.69921875,47282.0,4390.24267578125,42827.3515625
2015-09-15,1716.260009765625,73173.3984375,25705.9296875,47364.0,4347.03076171875,43269.62109375
2015-09-16,1731.81005859375,74149.5,25963.970703125,48553.0,4332.384765625,
2015-09-17,1729.199951171875,74980.6015625,,48551.0,4378.25439453125,43790.9296875
2015-09-18,1710.8399658203125,75099.0,26218.91015625,47264.0,4380.189453125,43565.05078125
2015-09-21,1699.719970703125,75860.703125,26192.98046875,46590.0,4375.9521484375,43618.140625
2015-09-22,1664.25,74993.703125,25651.83984375,46265.0,4343.9150390625,43232.05859375
2015-09-23,1640.699951171875,74610.203125,25822.990234375,45340.0,4244.30078125,43042.359375
2015-09-24,1621.4300537109375,,25863.5,45292.0,,42596.55859375
2015-09-25,1639.6400146484375,,,44831.0,4209.31396484375,42435.23046875
